No,Name,Code,REM,Last Done,LACP,CHG,%CHG,Vol ('00),BUY Vol ('00),BUY,SELL,SELL Vol ('00),HIGH,LOW,stock_id
545,RANHILL [S],5272,s,0.555,0.555,-,-,1315,713,0.55,0.555,589,0.56,0.55,5272
546,KIMLUN-WA [S],5171WA,,0.14,0.15,-0.010,-6.67,1300,220,0.135,0.14,198,0.14,0.14,5171WA
547,ANZO-WB [S],9342WB,,0.02,0.025,-0.005,-20.00,1250,6000,0.015,0.025,1600,0.02,0.02,9342WB
548,CAMRES [S],7128,,0.355,0.36,-0.005,-1.39,1249,131,0.355,0.36,470,0.355,0.355,7128
549,COMPUGT [S],5037,,0.02,0.02,-,-,1231,418616,0.015,0.02,327231,0.02,0.015,5037
550,EMETALL [S],7217,,0.49,0.505,-0.015,-2.97,1218,257,0.49,0.5,500,0.5,0.49,7217
551,GESHEN,7197,,1.19,1.22,-0.030,-2.46,1209,118,1.17,1.19,103,1.2,1.17,7197
552,ADVCON [S],5281,,0.315,0.31,+0.005,+1.61,1205,400,0.31,0.32,620,0.315,0.31,5281
553,MPHBCAP,5237,s,1.28,1.3,-0.020,-1.54,1200,1200,1.27,1.28,18,1.32,1.28,5237
554,KMLOONG [S],5027,s,1.72,1.72,-,-,1194,287,1.7,1.72,1094,1.72,1.7,5027
555,ALAQAR [S],5116,s,1.13,1.15,-0.020,-1.74,1128,255,1.13,1.16,375,1.14,1.13,5116
556,LFECORP [S],7170,,0.135,0.14,-0.005,-3.57,1128,676,0.135,0.14,624,0.135,0.135,7170
557,PWROOT [S],7237,s,1.36,1.35,+0.010,+0.74,1128,193,1.35,1.36,14,1.37,1.34,7237
558,DUTALND,3948,,0.36,0.35,+0.010,+2.86,1110,200,0.355,0.36,1993,0.36,0.35,3948
559,HOMERIZ-WB [S],5160WB,,0.145,0.145,-,-,1100,857,0.14,0.145,2,0.145,0.14,5160WB
560,BJASSET-WB,3239WB,,0.03,0.03,-,-,1070,500,0.03,0.035,8950,0.03,0.03,3239WB
561,GENP [S],2291,s,6.85,6.76,+0.090,+1.33,1058,43,6.83,6.85,40,6.88,6.78,2291
562,SALCON-WB [S],8567WB,,0.07,0.07,-,-,1054,35727,0.065,0.07,1000,0.075,0.07,8567WB
